        vg_image_id,topname,altname,responses,domain
198,house,cabin,"{'house': 22, 'cabin': 13}",buildings
199,food,salad,"{'food': 16, 'salad': 7}",food
200,table,,{'table': 28},home
213,house,garage,"{'house': 13, 'garage': 11, 'building': 6, 'home': 2}",buildings
221,house,building,"{'house': 33, 'building': 2}",buildings
228,couch,sofa,"{'couch': 17, 'sofa': 14}",home
231,house,building,"{'house': 22, 'building': 10, 'home': 2}",buildings
232,chair,sofa,"{'chair': 18, 'sofa': 11, 'couch': 3, 'armchair': 2}",home
235,shirt,blouse,"{'shirt': 18, 'blouse': 6, 'dress': 4}",clothing
244,bed,,{'bed': 27},home
258,desk,table,"{'desk': 26, 'table': 8}",home
260,man,person,"{'man': 24, 'person': 2, 'human': 1, 'male': 1}",people
263,house,home,"{'house': 33, 'home': 2, 'building': 1}",buildings
265,flower,,{'flower': 33},animals_plants
273,building,,{'building': 33},buildings
278,rug,carpet,"{'rug': 24, 'carpet': 8}",home
291,house,home,"{'house': 30, 'home': 2, 'cottage': 2, 'building': 1}",buildings
294,car,van,"{'car': 21, 'van': 6, 'vehicle': 2, 'suv': 2, 'automobile': 1}",vehicles
308,bridge,sidewalk,"{'bridge': 23, 'sidewalk': 4}",buildings
311,house,building,"{'house': 30, 'building': 3}",buildings
314,house,,{'house': 34},buildings
315,van,car,"{'van': 22, 'car': 11}",vehicles
321,house,building,"{'house': 30, 'building': 3, 'home': 1}",buildings
335,desk,table,"{'desk': 27, 'table': 5}",home
354,booth,building,"{'booth': 13, 'building': 13, 'phone booth': 3, 'table': 1}",home
360,desk,,{'desk': 30},home
373,desk,table,"{'desk': 32, 'table': 1}",home
375,table,desk,"{'table': 15, 'desk': 11}",home
377,desk,table,"{'desk': 25, 'table': 3}",home
380,desk,table,"{'desk': 31, 'table': 4}",home
381,desk,table,"{'desk': 25, 'table': 4, 'desktop': 2}",home
386,desk,table,"{'desk': 16, 'table': 11}",home
390,desk,table,"{'desk': 19, 'table': 5}",home
392,desk,table,"{'desk': 19, 'table': 5}",home
413,nurse,woman,"{'nurse': 21, 'woman': 7, 'person': 3}",people
415,table,,{'table': 25},home
416,woman,person,"{'woman': 23, 'person': 5, 'actress': 2}",people
417,table,,{'table': 33},home
418,man,person,"{'man': 22, 'person': 4, 'male': 1}",people
467,house,building,"{'house': 20, 'building': 10}",buildings
473,man,person,"{'man': 29, 'male': 2, 'person': 2}",people
474,table,desk,"{'table': 32, 'desk': 2}",home
479,house,building,"{'house': 18, 'building': 5}",buildings
498,cabinet,entertainment center,"{'cabinet': 15, 'hutch': 3, 'entertainment center': 3, 'furniture': 2, 'console': 1}",home
501,couch,sofa,"{'couch': 18, 'sofa': 15}",home
505,counter,sink,"{'counter': 13, 'sink': 12, 'vanity': 3, 'bathroom sink': 2}",home
508,sink,counter,"{'sink': 18, 'counter': 9, 'countertop': 3}",home
511,bed,,{'bed': 26},home
512,bed,,{'bed': 34},home
519,carpet,floor,"{'carpet': 18, 'floor': 10, 'carpeting': 1, 'rug': 1}",home
522,bed,,{'bed': 35},home
525,counter,countertop,"{'counter': 10, 'countertop': 9, 'sink': 9, 'table': 2}",home
526,shelf,bookshelf,"{'shelf': 13, 'bookshelf': 7, 'bookcase': 6, 'shelve': 2}",home
528,bed,,{'bed': 33},home
530,house,home,"{'house': 30, 'home': 1}",buildings
532,bed,,{'bed': 35},home
535,table,,{'table': 34},home
540,bed,,{'bed': 35},home
545,bed,,{'bed': 33},home
549,chair,seat,"{'chair': 28, 'seat': 2, 'armchair': 2}",home
550,rug,carpet,"{'rug': 24, 'carpet': 8}",home
551,couch,sofa,"{'couch': 13, 'sofa': 7}",home
552,couch,sofa,"{'couch': 29, 'sofa': 6}",home
556,rug,carpet,"{'rug': 21, 'carpet': 4}",home
557,rug,floor,"{'rug': 16, 'floor': 5, 'carpet': 4}",home
559,rug,floor,"{'rug': 19, 'floor': 5, 'carpet': 2}",home
560,shelf,bookshelf,"{'bookshelf': 8, 'bookcase': 3, 'shelf': 8, 'shelves': 5, 'shelving': 2}",home
561,dog,,{'dog': 35},animals_plants
563,counter,countertop,"{'counter': 23, 'countertop': 6}",home
567,chair,sofa,"{'chair': 20, 'sofa': 6, 'couch': 5, 'armchair': 2}",home
572,cabinet,cupboard,"{'cabinet': 21, 'cupboard': 6, 'furniture': 1}",home
574,desk,table,"{'desk': 23, 'table': 10}",home
578,table,,{'table': 31},home
625,car,automobile,"{'car': 28, 'automobile': 1}",vehicles
637,floor,carpet,"{'floor': 15, 'carpet': 11, 'rug': 2}",home
638,man,person,"{'man': 18, 'person': 3}",people
644,airplane,plane,"{'airplane': 21, 'plane': 12, 'jet': 2}",vehicles
652,man,person,"{'man': 23, 'person': 6, 'human': 1}",people
668,building,pagoda,"{'building': 23, 'pagoda': 5, 'temple': 3}",buildings
680,bird,seagull,"{'bird': 25, 'seagull': 6}",animals_plants
681,bird,,{'bird': 30},animals_plants
685,squirrel,,{'squirrel': 34},animals_plants
687,giraffe,,{'giraffe': 36},animals_plants
691,cheetah,leopard,"{'cheetah': 27, 'leopard': 3, 'animal': 2, 'cat': 2, 'tiger': 2}",animals_plants
693,cow,animal,"{'cow': 9, 'animal': 7, 'bison': 3, 'wildebeest': 2, 'bull': 2, 'oxen': 2}",animals_plants
694,lion,lioness,"{'lion': 30, 'lioness': 3, 'animal': 2}",animals_plants
705,boat,ship,"{'boat': 28, 'ship': 6}",vehicles
711,house,building,"{'house': 20, 'building': 13}",buildings
716,building,house,"{'building': 22, 'house': 2}",buildings
762,house,building,"{'house': 28, 'building': 6}",buildings
763,building,house,"{'building': 18, 'house': 12}",buildings
782,house,building,"{'house': 18, 'building': 12}",buildings
810,boat,ship,"{'boat': 23, 'ship': 10, 'sailboat': 2}",vehicles
855,table,,{'table': 29},home
881,woman,lady,"{'woman': 28, 'lady': 2}",people
882,desk,table,"{'desk': 16, 'table': 5}",home
883,bridge,overpass,"{'bridge': 30, 'overpass': 3}",buildings
884,box,cereal,"{'box': 15, 'cereal': 15}",home
897,boy,man,"{'boy': 9, 'man': 9, 'kid': 3, 'child': 2, 'player': 2, 'person': 2}",people
911,jacket,shirt,"{'jacket': 25, 'coat': 2, 'shirt': 2}",clothing
913,car,,{'car': 33},vehicles
917,shirt,t-shirt,"{'shirt': 27, 't-shirt': 3, 'polo shirt': 2, 'polo': 2}",clothing
922,woman,girl,"{'woman': 17, 'girl': 6, 'person': 5, 'lady': 2}",people
930,man,person,"{'man': 27, 'person': 2}",people
933,boy,child,"{'boy': 10, 'child': 5, 'kid': 2, 'person': 2}",people
936,counter,table,"{'counter': 18, 'countertop': 5, 'table': 5}",home
956,cat,,{'cat': 34},animals_plants
958,cat,kitten,"{'cat': 28, 'kitten': 3}",animals_plants
960,car,antique car,"{'car': 25, 'antique car': 2}",vehicles
962,girl,woman,"{'girl': 16, 'woman': 11, 'person': 2}",people
963,jacket,dress,"{'jacket': 32, 'dress': 1}",clothing
964,man,person,"{'man': 31, 'person': 2}",people
965,bridge,,{'bridge': 36},buildings
993,airplane,plane,"{'airplane': 18, 'plane': 12, 'jet': 2}",vehicles
997,floor,carpet,"{'floor': 17, 'carpet': 15}",home
1011,aquarium,fish tank,"{'aquarium': 25, 'fish tank': 3, 'water': 2, 'tank': 1}",home
1012,bridge,,{'bridge': 31},buildings
1022,table,,{'table': 29},home
1039,counter,table,"{'counter': 13, 'table': 6, 'display': 5}",home
1041,boy,child,"{'boy': 19, 'child': 10, 'kid': 2}",people
1045,table,,{'table': 29},home
1046,tent,shelter,"{'tent': 24, 'shelter': 1}",buildings
1057,vanity,counter,"{'vanity': 7, 'counter': 7, 'furniture': 2, 'dresser': 1}",home
1058,bed,,{'bed': 35},home
1059,bed,,{'bed': 29},home
1061,bed,bed cover,"{'bed': 30, 'bed cover': 2}",home
1062,bed,,{'bed': 36},home
1063,dresser,bureau,"{'dresser': 27, 'bureau': 3, 'drawers': 2, 'chest': 1, 'cabinet': 1, 'table': 1, 'furniture': 1}",home
1065,curtain,screen,"{'curtain': 28, 'screen': 1}",home
1066,bed,,{'bed': 33},home
1068,bed,blanket,"{'bed': 31, 'blanket': 2, 'mattress': 2}",home
1073,pool table,table,"{'pool table': 19, 'table': 14}",home
1074,house,building,"{'house': 27, 'building': 2, 'home': 1}",buildings
1076,table,,{'table': 33},home
1077,shirt,sweater,"{'shirt': 22, 'sweater': 4, 'jacket': 3}",clothing
1078,chair,,{'chair': 33},home
1079,bookshelf,shelf,"{'bookshelf': 14, 'bookcase': 6, 'shelf': 7, 'cabinet': 2}",home
1082,table,,{'table': 31},home
1097,carpet,floor,"{'carpet': 21, 'floor': 10, 'rug': 2}",home
1110,floor,carpet,"{'floor': 12, 'carpet': 11}",home
1119,woman,,{'woman': 31},people
1132,counter,countertop,"{'counter': 25, 'countertop': 5, 'table': 2}",home
1138,shirt,,{'shirt': 33},clothing
1139,woman,girl,"{'woman': 22, 'girl': 6, 'person': 5}",people
1143,floor,carpet,"{'floor': 18, 'carpet': 15}",home
1144,table,ping pong table,"{'table': 21, 'ping pong table': 9}",home
1155,bed,bed sheet,"{'bed': 28, 'bed sheet': 2, 'hospital bed': 2}",home
1156,bed,hospital bed,"{'bed': 24, 'hospital bed': 9}",home
1175,wall,table,"{'wall': 20, 'table': 5, 'counter': 3, 'cabinet': 2}",home
1177,table,,{'table': 35},home
1180,counter,cabinet,"{'counter': 11, 'cabinet': 10, 'cupboard': 3, 'furniture': 2}",home
1188,cat,,{'cat': 30},animals_plants
1198,car,station wagon,"{'car': 30, 'station wagon': 2}",vehicles
1199,couch,sofa,"{'couch': 20, 'sofa': 15}",home
1205,carpet,floor,"{'carpet': 17, 'floor': 12, 'rug': 2}",home
1208,rug,carpet,"{'rug': 22, 'carpet': 6}",home
1209,crib,cot,"{'crib': 31, 'cot': 1}",home
1214,outhouse,shed,"{'outhouse': 17, 'shed': 7, 'building': 3, 'house': 3, 'hut': 2}",buildings
1222,pool table,table,"{'pool table': 19, 'table': 13}",home
1229,car,,{'car': 33},vehicles
1231,table,counter,"{'table': 26, 'counter': 2}",home
1238,shirt,t-shirt,"{'shirt': 25, 't-shirt': 3, 'sweater': 2, 'dress': 1}",clothing
1241,bridge,pier,"{'bridge': 24, 'pier': 6, 'dock': 4}",buildings
1246,woman,female,"{'woman': 28, 'female': 1}",people
1248,bench,seat,"{'bench': 21, 'seat': 4, 'chair': 2}",home
1268,curtain,,{'curtain': 29},home
1277,carpet,floor,"{'carpet': 17, 'floor': 10, 'rug': 1}",home
1278,carpet,floor,"{'carpet': 21, 'floor': 9}",home
1291,horse,,{'horse': 30},animals_plants
1293,desk,table,"{'desk': 29, 'table': 4}",home
1299,rug,carpet,"{'rug': 27, 'carpet': 7}",home
1300,couch,sofa,"{'couch': 26, 'sofa': 5, 'chair': 2, 'bed': 1}",home
1310,couch,sofa,"{'couch': 21, 'sofa': 12, 'bed': 1}",home
1313,counter,countertop,"{'counter': 19, 'countertop': 8, 'table': 1}",home
1316,chair,,{'chair': 36},home
1318,table,furniture,"{'table': 28, 'desk': 2, 'furniture': 2}",home
1326,woman,girl,"{'woman': 21, 'girl': 4, 'person': 2, 'teenager': 2}",people
1333,house,mansion,"{'house': 27, 'mansion': 3, 'home': 2, 'building': 1}",buildings
1344,chair,,{'chair': 34},home
1354,table,,{'table': 27},home
1372,woman,nun,"{'woman': 19, 'nun': 6}",people
1373,shirt,t-shirt,"{'shirt': 25, 't-shirt': 8, 'dress': 1}",clothing
1375,man,person,"{'man': 17, 'person': 6, 'singer': 4, 'guitarist': 4}",people
1386,dog,,{'dog': 32},animals_plants
1387,desk,table,"{'desk': 27, 'table': 5}",home
1390,chair,,{'chair': 32},home
1392,desk,table,"{'desk': 25, 'table': 9}",home
1393,desk,table,"{'desk': 22, 'table': 3}",home
1394,desk,table,"{'desk': 24, 'table': 7, 'counter': 3}",home
1397,desk,,{'desk': 27},home
1398,shirt,sweater,"{'shirt': 19, 'sweater': 10, 'dress': 1}",clothing
1405,building,house,"{'building': 19, 'house': 10, 'apartment building': 2}",buildings
1409,building,house,"{'building': 23, 'house': 7, 'store': 2}",buildings
1410,house,building,"{'house': 26, 'building': 7}",buildings
1440,tree,,{'tree': 17},animals_plants
1459,car,suv,"{'car': 23, 'suv': 7, 'vehicle': 4}",vehicles
1464,car,vehicle,"{'car': 33, 'vehicle': 2}",vehicles
1465,car,,{'car': 35},vehicles
1467,car,suv,"{'car': 25, 'suv': 8, 'truck': 2}",vehicles
1468,car,suv,"{'car': 11, 'suv': 9, 'vehicle': 7, 'truck': 5}",vehicles
1470,car,,{'car': 33},vehicles
1471,car,automobile,"{'car': 35, 'automobile': 1}",vehicles
1472,car,vehicle,"{'car': 33, 'vehicle': 2, 'automobile': 1}",vehicles
1474,car,,{'car': 35},vehicles
1514,desk,table,"{'desk': 21, 'table': 7}",home
1517,desk,table,"{'desk': 27, 'table': 2}",home
1518,desk,table,"{'desk': 23, 'table': 4}",home
1519,desk,table,"{'desk': 19, 'table': 5}",home
1521,desk,table,"{'desk': 22, 'table': 4}",home
1522,desk,table,"{'desk': 21, 'table': 11}",home
1523,desk,table,"{'desk': 27, 'table': 3}",home
1524,counter,countertop,"{'counter': 20, 'countertop': 4, 'cabinet': 2, 'table': 1}",home
1525,desk,table,"{'desk': 30, 'table': 3}",home
1526,chair,,{'chair': 34},home
1545,carpet,floor,"{'carpet': 14, 'floor': 11, 'rug': 4}",home
1548,bookshelf,bookcase,"{'bookshelf': 17, 'bookcase': 9, 'shelf': 3}",home
1588,bench,chair,"{'bench': 30, 'chair': 2}",home
1590,table,furniture,"{'table': 13, 'furniture': 2}",home
1607,table,counter,"{'table': 28, 'counter': 3}",home
1618,desk,table,"{'desk': 22, 'table': 2}",home
1619,desk,table,"{'desk': 19, 'table': 8, 'desktop': 2}",home
1621,desk,table,"{'desk': 27, 'table': 6}",home
1628,van,car,"{'van': 20, 'car': 12, 'vehicle': 3}",vehicles
1632,car,,{'car': 36},vehicles
1652,van,car,"{'van': 23, 'car': 8, 'truck': 2}",vehicles
1665,desk,table,"{'desk': 29, 'table': 3}",home
1667,desk,table,"{'desk': 25, 'table': 2}",home
1677,desk,table,"{'desk': 28, 'table': 3}",home
1678,desk,table,"{'desk': 32, 'table': 2}",home
1686,table,desk,"{'table': 18, 'desk': 16}",home
1687,chair,office chair,"{'chair': 34, 'office chair': 2}",home
1688,desk,table,"{'desk': 29, 'table': 5}",home
1689,floor,carpet,"{'floor': 16, 'carpet': 8}",home
1691,chair,desk chair,"{'chair': 33, 'desk chair': 2}",home
1694,car,,{'car': 31},vehicles
1700,bookshelf,bookcase,"{'bookshelf': 20, 'bookcase': 7, 'shelf': 4, 'shelves': 2}",home
1704,desk,table,"{'desk': 34, 'table': 1}",home
1705,desk,table,"{'desk': 28, 'table': 4}",home
1706,desk,table,"{'desk': 27, 'table': 6}",home
1740,woman,person,"{'woman': 24, 'person': 3, 'actress': 2}",people
1741,jacket,blazer,"{'jacket': 21, 'blazer': 4, 'shirt': 3, 'suit': 3, 'coat': 1}",clothing
1742,car,vehicle,"{'car': 29, 'sedan': 2, 'vehicle': 2}",vehicles
1754,car,vehicle,"{'car': 26, 'van': 4, 'vehicle': 4, 'automobile': 1}",vehicles
1760,car,automobile,"{'car': 33, 'automobile': 1}",vehicles
1769,bridge,,{'bridge': 30},buildings
1792,car,,{'car': 34},vehicles
1827,statue,woman,"{'statue': 18, 'woman': 4, 'jesus': 2, 'person': 2}",animals_plants
1835,house,building,"{'house': 30, 'building': 1}",buildings
1846,house,building,"{'house': 29, 'building': 2}",buildings
1876,house,building,"{'house': 24, 'building': 3, 'town home': 2, 'townhouse': 2}",buildings
1878,building,house,"{'building': 20, 'house': 10}",buildings
1883,boat,vehicle,"{'boat': 28, 'vehicle': 2}",vehicles
1904,boat,,{'boat': 35},vehicles
1970,house,building,"{'house': 30, 'building': 2, 'mansion': 2}",buildings
1976,bed,,{'bed': 35},home
1977,desk,table,"{'desk': 32, 'table': 1}",home
1978,bed,,{'bed': 35},home
1980,bed,,{'bed': 32},home
1984,counter,vanity,"{'counter': 22, 'vanity': 5, 'table': 4, 'furniture': 1}",home
1985,sofa,chair,"{'sofa': 15, 'chair': 8, 'couch': 4, 'loveseat': 4, 'furniture': 2}",home
1987,cabinet,dresser,"{'cabinet': 8, 'dresser': 5, 'wardrobe': 2, 'armoire': 2}",home
1996,bed,,{'bed': 31},home
1997,carpet,floor,"{'carpet': 20, 'floor': 10, 'rug': 1}",home
1998,vanity,counter,"{'vanity': 7, 'counter': 6, 'countertop': 3}",home
2003,carpet,floor,"{'carpet': 13, 'floor': 12, 'rug': 2}",home
2004,bench,furniture,"{'bench': 22, 'furniture': 3, 'chair': 2, 'seat': 1}",home
2006,couch,sofa,"{'couch': 20, 'sofa': 13}",home
2009,bed,,{'bed': 31},home
2011,cabinet,dresser,"{'cabinet': 11, 'dresser': 7, 'shelf': 5, 'entertainment center': 3}",home
2015,bed,,{'bed': 30},home
2018,bed,,{'bed': 32},home
2022,bed,,{'bed': 31},home
2028,chair,office chair,"{'chair': 32, 'office chair': 2}",home
2029,bed,,{'bed': 35},home
2032,lamp,light,"{'lamp': 32, 'light': 3}",home
2036,bed,,{'bed': 32},home
2037,bed,,{'bed': 32},home
2044,couch,sofa,"{'couch': 17, 'sofa': 15, 'chair': 2}",home
2046,house,home,"{'house': 34, 'home': 1}",buildings
2048,house,building,"{'house': 31, 'building': 2, 'home': 1}",buildings
2064,sink,vanity,"{'sink': 10, 'vanity': 8, 'cabinet': 5, 'counter': 2, 'bathroom vanity': 2}",home
2068,curtain,,{'curtain': 23},home
2076,house,building,"{'house': 34, 'building': 2}",buildings
2086,house,building,"{'house': 32, 'building': 3, 'home': 1}",buildings
2087,house,building,"{'house': 30, 'building': 3}",buildings
2091,bed,,{'bed': 33},home
2092,couch,sofa,"{'couch': 22, 'sofa': 12, 'loveseat': 2}",home
2103,counter,cabinets,"{'counter': 16, 'cabinets': 4, 'kitchen counter': 3, 'countertop': 2}",home
2110,house,building,"{'house': 25, 'building': 7}",buildings
2118,rug,carpet,"{'rug': 19, 'carpet': 6}",home
2119,house,building,"{'house': 24, 'building': 6}",buildings
2122,bed,,{'bed': 34},home
2123,couch,sofa,"{'couch': 14, 'sofa': 10, 'chair': 7, 'seat': 1}",home
2127,house,duplex,"{'house': 31, 'duplex': 2, 'building': 2, 'home': 1}",buildings
2139,bed,,{'bed': 34},home
2153,cabinet,dresser,"{'cabinet': 9, 'dresser': 5, 'table': 2, 'shelf': 2, 'furniture': 2}",home
2156,carpet,floor,"{'carpet': 13, 'floor': 11, 'rug': 2}",home
2157,carpet,rug,"{'carpet': 17, 'rug': 9, 'mat': 4, 'floor': 3}",home
2164,table,island,"{'table': 31, 'island': 2, 'furniture': 1}",home
2180,chair,,{'chair': 34},home
2199,rug,carpet,"{'rug': 18, 'carpet': 7, 'mat': 2, 'area rug': 2}",home
2204,desk,table,"{'desk': 18, 'table': 7}",home
2207,couch,sofa,"{'couch': 26, 'sofa': 8}",home
2214,desk,cabinet,"{'desk': 9, 'cabinet': 9, 'bookcase': 2, 'hutch': 2, 'shelving': 2, 'shelf': 2}",home
2215,table,desk,"{'table': 33, 'desk': 2}",home
2220,bird,egret,"{'bird': 30, 'egret': 2, 'stork': 2}",animals_plants
2222,bird,duck,"{'bird': 20, 'duck': 14}",animals_plants
2223,bird,duck,"{'bird': 33, 'duck': 2}",animals_plants
2228,car,vehicle,"{'car': 27, 'vehicle': 4}",vehicles
2229,car,,{'car': 32},vehicles
2246,car,automobile,"{'car': 32, 'automobile': 1}",vehicles
2367,car,,{'car': 35},vehicles
2458,desk,table,"{'desk': 23, 'table': 6}",home
2468,house,building,"{'house': 25, 'building': 4, 'home': 1}",buildings
2506,bridge,,{'bridge': 29},buildings
2507,train,,{'train': 30},vehicles
2512,truck,car,"{'truck': 16, 'car': 7, 'vehicle': 2}",vehicles
2556,light,lamp,"{'light': 17, 'lamp': 13}",home
2598,car,vehicle,"{'car': 30, 'vehicle': 2}",vehicles
2611,bird,,{'bird': 26},animals_plants
2613,bird,crane,"{'bird': 24, 'crane': 4, 'heron': 2}",animals_plants
2617,boy,child,"{'boy': 16, 'child': 12, 'kid': 2, 'person': 2}",people
2619,bird,,{'bird': 34},animals_plants
2630,bird,,{'bird': 32},animals_plants
2637,squirrel,,{'squirrel': 32},animals_plants
2642,zebra,,{'zebra': 35},animals_plants
2645,truck,vehicle,"{'truck': 13, 'vehicle': 8, 'jeep': 5, 'automobile': 2, 'car': 2}",vehicles
2656,balloon,hot air balloon,"{'balloon': 27, 'hot air balloon': 5}",vehicles
2657,animal,cow,"{'animal': 9, 'cow': 6, 'ram': 3, 'yak': 3, 'bull': 2, 'buffalo': 2}",animals_plants
2659,lion,,{'lion': 31},animals_plants
2738,van,truck,"{'van': 28, 'truck': 3, 'car': 2}",vehicles
2776,building,house,"{'house': 18, 'building': 18}",buildings
2889,car,,{'car': 32},vehicles
2893,bridge,dock,"{'bridge': 15, 'dock': 8, 'pier': 3, 'boardwalk': 2}",buildings
3025,house,building,"{'house': 17, 'building': 15, 'home': 2}",buildings
3088,house,building,"{'house': 26, 'building': 5, 'apartment': 2, 'home': 1}",buildings
3089,house,building,"{'house': 32, 'building': 3}",buildings
3141,house,building,"{'house': 28, 'building': 5, 'home': 1}",buildings
3142,house,building,"{'house': 26, 'building': 4}",buildings
3148,house,building,"{'house': 33, 'building': 2}",buildings
3191,van,truck,"{'van': 28, 'truck': 5}",vehicles
3206,sidewalk,walkway,"{'sidewalk': 8, 'walkway': 8, 'path': 4}",buildings
3212,boat,ship,"{'boat': 30, 'ship': 6}",vehicles
3302,car,vehicle,"{'car': 29, 'vehicle': 2}",vehicles
3303,scooter,moped,"{'scooter': 16, 'motorcycle': 6, 'moped': 6, 'bike': 5, 'motorbike': 2}",vehicles
3307,car,,{'car': 35},vehicles
3327,car,,{'car': 32},vehicles
3376,house,building,"{'house': 26, 'building': 9}",buildings
3378,bench,,{'bench': 35},home
3386,house,home,"{'house': 30, 'home': 2, 'building': 2}",buildings
3393,van,car,"{'van': 29, 'car': 3}",vehicles
3451,building,house,"{'building': 29, 'apartment': 2, 'apartment building': 2, 'house': 2}",buildings
3496,shirt,turtleneck,"{'shirt': 20, 'turtleneck': 9, 'sweater': 2, 'dress': 1}",clothing
3522,carpet,rug,"{'carpet': 12, 'rug': 12, 'floor': 3, 'area rug': 2}",home
3528,car,automobile,"{'car': 29, 'automobile': 2, 'vehicles': 2}",vehicles
3530,van,vehicle,"{'van': 27, 'vehicle': 5, 'car': 3, 'truck': 1}",vehicles
3531,counter,table,"{'counter': 16, 'table': 7, 'countertop': 4}",home
3534,house,home,"{'house': 33, 'home': 1, 'building': 1}",buildings
3535,dog,hound,"{'dog': 35, 'hound': 1}",animals_plants
3537,shirt,t-shirt,"{'shirt': 27, 't-shirt': 4, 'dress': 1}",clothing
3558,man,person,"{'man': 33, 'person': 1}",people
3561,couch,sofa,"{'couch': 25, 'sofa': 7, 'bed': 1}",home
3564,sofa,couch,"{'sofa': 9, 'couch': 6}",home
3565,shirt,sweater,"{'shirt': 21, 'sweater': 2, 'clothing': 2, 'dress': 1}",clothing
3571,house,building,"{'house': 30, 'building': 2, 'home': 1, 'mansion': 1}",buildings
3577,carpet,floor,"{'carpet': 10, 'floor': 9, 'rug': 2}",home
3592,counter,table,"{'counter': 15, 'table': 8, 'countertop': 5, 'desk': 3}",home
3593,man,person,"{'man': 27, 'person': 4, 'male': 1}",people
3595,airplane,plane,"{'airplane': 22, 'plane': 10}",vehicles
3608,car,,{'car': 31},vehicles
3611,horse,,{'horse': 31},animals_plants
3617,airplane,plane,"{'airplane': 18, 'plane': 16, 'aircraft': 2}",vehicles
3626,counter,table,"{'counter': 14, 'table': 10, 'countertop': 4, 'desk': 2}",home
3627,bridge,,{'bridge': 35},buildings
3630,bed,,{'bed': 34},home
3637,van,car,"{'van': 29, 'car': 3, 'truck': 1}",vehicles
3641,desk,table,"{'desk': 22, 'table': 6}",home
3668,man,person,"{'man': 30, 'person': 2}",people
3680,man,person,"{'man': 20, 'person': 7, 'boy': 3}",people
3681,hat,cap,"{'hat': 28, 'cap': 6}",clothing
3682,train,,{'train': 32},vehicles
3685,table,desk,"{'table': 21, 'desk': 6, 'counter': 4}",home
3738,flower,,{'flower': 36},animals_plants
3741,flower,,{'flower': 34},animals_plants
3742,flower,,{'flower': 36},animals_plants
3746,boat,ship,"{'boat': 25, 'ship': 7, 'ferry': 2}",vehicles
3753,cat,,{'cat': 33},animals_plants
3763,bridge,,{'bridge': 34},buildings
3764,car,automobile,"{'car': 33, 'automobile': 1}",vehicles
3788,house,building,"{'house': 18, 'building': 7, 'apartment': 2}",buildings
3820,house,building,"{'house': 29, 'building': 4}",buildings
3852,car,vehicle,"{'car': 31, 'vehicle': 3, 'van': 2}",vehicles
3873,strawberry,plate,"{'strawberry': 20, 'plate': 8, 'food': 4}",food
3876,building,castle,"{'building': 16, 'castle': 11, 'house': 4, 'church': 2}",buildings
